340 57630
1 110 119
1 119 268
1 268 3
1 3 51
1 51 233
1 233 238
1 238 63
1 63 175
1 175 37
1 37 112
1 112 260
1 260 284
1 284 53
1 53 236
1 236 32
1 32 116
1 116 222
1 222 328
1 328 182
1 182 77
1 77 256
1 256 194
1 194 315
1 315 40
1 40 244
1 244 204
1 204 115
1 115 126
1 126 255
1 255 85
1 85 302
1 302 265
1 265 327
1 327 313
1 313 97
1 97 181
1 181 38
1 38 58
1 58 10
1 10 226
1 226 148
1 148 131
1 131 139
1 139 149
1 149 105
1 105 151
1 151 47
1 47 59
1 59 293
1 293 69
1 69 273
1 273 271
1 271 103
1 103 79
1 79 166
1 166 15
1 15 101
1 101 7
1 7 16
1 16 325
1 325 214
1 214 195
1 195 332
1 332 188
1 188 147
1 147 203
1 203 71
1 71 218
1 218 81
1 81 118
1 118 91
1 91 326
1 326 333
1 333 163
1 163 269
1 269 25
1 25 242
1 242 19
1 19 120
1 120 324
1 324 279
1 279 122
1 122 155
1 155 340
1 340 138
1 138 220
1 220 183
1 183 219
1 219 108
1 108 312
1 312 289
1 289 177
1 177 235
1 235 157
1 157 262
1 262 94
1 94 170
1 170 209
1 209 14
1 14 45
1 45 334
1 334 169
1 169 13
1 13 311
1 311 26
1 26 282
1 282 264
1 264 286
1 286 258
1 258 200
1 200 272
1 272 329
1 329 156
1 156 240
1 240 207
1 207 212
1 212 141
1 141 318
1 318 46
1 46 5
1 5 285
1 285 201
1 201 142
1 142 310
1 310 296
1 296 146
1 146 229
1 229 36
1 36 253
1 253 44
1 44 215
1 215 134
1 134 335
1 335 278
1 278 276
1 276 171
1 171 217
1 217 88
1 88 9
1 9 178
1 178 84
1 84 309
1 309 254
1 254 322
1 322 283
1 283 43
1 43 336
1 336 135
1 135 17
1 17 153
1 153 173
1 173 76
1 76 210
1 210 251
1 251 133
1 133 89
1 89 168
1 168 316
1 316 291
1 291 199
1 199 252
1 252 154
1 154 314
1 314 189
1 189 288
1 288 239
1 239 128
1 128 144
1 144 192
1 192 294
1 294 275
1 275 6
1 6 317
1 317 225
1 225 92
1 92 337
1 337 197
1 197 261
1 261 165
1 165 50
1 50 68
1 68 123
1 123 223
1 223 295
1 295 22
1 22 179
1 179 98
1 98 266
1 266 307
1 307 339
1 339 61
1 61 228
1 228 164
1 164 267
1 267 109
1 109 297
1 297 308
1 308 78
1 78 57
1 57 237
1 237 245
1 245 301
1 301 39
1 39 27
1 27 298
1 298 213
1 213 100
1 100 230
1 230 161
1 161 305
1 305 172
1 172 73
1 73 150
1 150 35
1 35 121
1 121 323
1 323 117
1 117 202
1 202 12
1 12 65
1 65 303
1 303 249
1 249 321
1 321 216
1 216 127
1 127 18
1 18 99
1 99 140
1 140 66
1 66 158
1 158 330
1 330 184
1 184 190
1 190 241
1 241 129
1 129 145
1 145 95
1 95 248
1 248 234
1 234 41
1 41 306
1 306 159
1 159 20
1 20 259
1 259 174
1 174 186
1 186 320
1 320 227
1 227 331
1 331 67
1 67 152
1 152 231
1 231 106
1 106 102
1 102 205
1 205 290
1 290 62
1 62 287
1 287 113
1 113 280
1 280 125
1 125 52
1 52 185
1 185 87
1 87 83
1 83 1
1 1 34
1 34 28
1 28 33
1 33 56
1 56 176
1 176 162
1 162 23
1 23 93
1 93 11
1 11 232
1 232 8
1 8 21
1 21 299
1 299 198
1 198 136
1 136 221
1 221 143
1 143 31
1 31 64
1 64 86
1 86 274
1 274 96
1 96 75
1 75 281
1 281 54
1 54 130
1 130 208
1 208 137
1 137 250
1 250 55
1 55 300
1 300 82
1 82 224
1 224 60
1 60 257
1 257 247
1 247 48
1 48 42
1 42 304
1 304 277
1 277 104
1 104 70
1 70 4
1 4 72
1 72 111
1 111 24
1 24 29
1 29 49
1 49 160
1 160 246
1 246 211
1 211 167
1 167 30
1 30 270
1 270 338
1 338 180
1 180 243
1 243 80
1 80 191
1 191 114
1 114 206
1 206 124
1 124 319
1 319 74
1 74 196
1 196 2
1 2 187
1 187 107
1 107 132
1 132 90
1 90 193
1 193 292
1 292 263
1 263 110
1 1 2
1 1 3
2 1 4
1 1 5
1 1 6
2 1 7
2 1 8
1 1 9
1 1 10
2 1 11
2 1 12
2 1 13
2 1 14
1 1 15
1 1 16
1 1 17
1 1 18
2 1 19
1 1 20
2 1 21
1 1 22
1 1 23
1 1 24
2 1 25
2 1 26
1 1 27
2 1 28
2 1 29
1 1 30
2 1 31
2 1 32
1 1 33
1 1 35
1 1 36
1 1 37
1 1 38
2 1 39
1 1 40
2 1 41
1 1 42
2 1 43
1 1 44
2 1 45
2 1 46
1 1 47
2 1 48
1 1 49
1 1 50
1 1 51
2 1 52
2 1 53
1 1 54
1 1 55
2 1 56
1 1 57
1 1 58
2 1 59
2 1 60
2 1 61
1 1 62
2 1 63
2 1 64
1 1 65
2 1 66
1 1 67
2 1 68
1 1 69
1 1 70
1 1 71
2 1 72
1 1 73
2 1 74
2 1 75
1 1 76
2 1 77
1 1 78
1 1 79
1 1 80
2 1 81
1 1 82
2 1 84
1 1 85
2 1 86
2 1 87
1 1 88
1 1 89
1 1 90
1 1 91
1 1 92
2 1 93
2 1 94
1 1 95
2 1 96
2 1 97
1 1 98
2 1 99
2 1 100
1 1 101
1 1 102
1 1 103
1 1 104
2 1 105
2 1 106
1 1 107
2 1 108
2 1 109
1 1 110
2 1 111
2 1 112
1 1 113
1 1 114
1 1 115
2 1 116
1 1 117
1 1 118
2 1 119
1 1 120
2 1 121
2 1 122
1 1 123
2 1 124
2 1 125
2 1 126
1 1 127
1 1 128
2 1 129
1 1 130
1 1 131
1 1 132
2 1 133
1 1 134
2 1 135
1 1 136
1 1 137
1 1 138
1 1 139
1 1 140
2 1 141
1 1 142
1 1 143
2 1 144
1 1 145
1 1 146
2 1 147
2 1 148
1 1 149
2 1 150
1 1 151
1 1 152
2 1 153
1 1 154
1 1 155
2 1 156
1 1 157
1 1 158
2 1 159
2 1 160
1 1 161
1 1 162
1 1 163
1 1 164
1 1 165
1 1 166
2 1 167
2 1 168
1 1 169
1 1 170
2 1 171
1 1 172
1 1 173
2 1 174
2 1 175
1 1 176
2 1 177
1 1 178
1 1 179
1 1 180
1 1 181
2 1 182
2 1 183
1 1 184
2 1 185
2 1 186
2 1 187
2 1 188
2 1 189
1 1 190
2 1 191
2 1 192
2 1 193
2 1 194
2 1 195
2 1 196
1 1 197
2 1 198
2 1 199
2 1 200
1 1 201
1 1 202
2 1 203
2 1 204
1 1 205
1 1 206
1 1 207
1 1 208
1 1 209
1 1 210
1 1 211
1 1 212
1 1 213
2 1 214
2 1 215
1 1 216
2 1 217
2 1 218
2 1 219
1 1 220
1 1 221
2 1 222
1 1 223
2 1 224
1 1 225
1 1 226
2 1 227
2 1 228
1 1 229
1 1 230
2 1 231
2 1 232
2 1 233
1 1 234
2 1 235
1 1 236
2 1 237
2 1 238
2 1 239
1 1 240
2 1 241
1 1 242
2 1 243
2 1 244
2 1 245
2 1 246
1 1 247
1 1 248
2 1 249
1 1 250
1 1 251
2 1 252
2 1 253
1 1 254
1 1 255
2 1 256
1 1 257
2 1 258
1 1 259
2 1 260
2 1 261
1 1 262
1 1 263
1 1 264
1 1 265
2 1 266
1 1 267
2 1 268
2 1 269
1 1 270
1 1 271
1 1 272
1 1 273
1 1 274
2 1 275
2 1 276
1 1 277
1 1 278
1 1 279
2 1 280
1 1 281
2 1 282
2 1 283
1 1 284
2 1 285
2 1 286
1 1 287
1 1 288
2 1 289
1 1 290
1 1 291
2 1 292
2 1 293
2 1 294
2 1 295
2 1 296
1 1 297
1 1 298
2 1 299
2 1 300
2 1 301
2 1 302
1 1 303
2 1 304
2 1 305
1 1 306
2 1 307
2 1 308
1 1 309
1 1 310
2 1 311
2 1 312
1 1 313
2 1 314
1 1 315
1 1 316
1 1 317
2 1 318
1 1 319
1 1 320
2 1 321
1 1 322
1 1 323
1 1 324
2 1 325
2 1 326
1 1 327
2 1 328
2 1 329
2 1 330
2 1 331
1 1 332
2 1 333
2 1 334
2 1 335
2 1 336
2 1 337
1 1 338
2 1 339
1 1 340
1 2 3
2 2 4
1 2 5
1 2 6
2 2 7
1 2 8
1 2 9
2 2 10
1 2 11
1 2 12
2 2 13
2 2 14
1 2 15
1 2 16
1 2 17
2 2 18
1 2 19
1 2 20
2 2 21
1 2 22
2 2 23
1 2 24
2 2 25
2 2 26
2 2 27
1 2 28
2 2 29
2 2 30
2 2 31
1 2 32
1 2 33
2 2 34
1 2 35
1 2 36
2 2 37
2 2 38
2 2 39
1 2 40
2 2 41
2 2 42
2 2 43
2 2 44
1 2 45
2 2 46
2 2 47
2 2 48
2 2 49
1 2 50
2 2 51
2 2 52
2 2 53
1 2 54
2 2 55
1 2 56
2 2 57
1 2 58
2 2 59
1 2 60
2 2 61
2 2 62
2 2 63
2 2 64
1 2 65
1 2 66
1 2 67
1 2 68
1 2 69
1 2 70
1 2 71
1 2 72
1 2 73
1 2 74
2 2 75
1 2 76
2 2 77
1 2 78
1 2 79
1 2 80
1 2 81
1 2 82
2 2 83
1 2 84
1 2 85
2 2 86
1 2 87
1 2 88
1 2 89
1 2 90
1 2 91
1 2 92
2 2 93
2 2 94
2 2 95
2 2 96
1 2 97
2 2 98
2 2 99
2 2 100
1 2 101
1 2 102
2 2 103
2 2 104
2 2 105
2 2 106
2 2 107
2 2 108
2 2 109
2 2 110
2 2 111
2 2 112
1 2 113
2 2 114
2 2 115
2 2 116
1 2 117
2 2 118
2 2 119
2 2 120
1 2 121
2 2 122
1 2 123
1 2 124
1 2 125
2 2 126
1 2 127
2 2 128
1 2 129
1 2 130
1 2 131
1 2 132
1 2 133
1 2 134
2 2 135
2 2 136
1 2 137
2 2 138
2 2 139
2 2 140
1 2 141
2 2 142
1 2 143
1 2 144
1 2 145
1 2 146
2 2 147
1 2 148
2 2 149
2 2 150
1 2 151
2 2 152
2 2 153
2 2 154
1 2 155
2 2 156
1 2 157
2 2 158
1 2 159
2 2 160
1 2 161
2 2 162
1 2 163
1 2 164
1 2 165
2 2 166
1 2 167
1 2 168
2 2 169
2 2 170
1 2 171
1 2 172
2 2 173
1 2 174
2 2 175
2 2 176
2 2 177
2 2 178
2 2 179
1 2 180
2 2 181
2 2 182
2 2 183
1 2 184
2 2 185
1 2 186
1 2 188
1 2 189
2 2 190
1 2 191
1 2 192
2 2 193
2 2 194
1 2 195
1 2 197
2 2 198
2 2 199
1 2 200
2 2 201
1 2 202
2 2 203
2 2 204
1 2 205
1 2 206
2 2 207
1 2 208
1 2 209
1 2 210
1 2 211
2 2 212
1 2 213
2 2 214
1 2 215
1 2 216
2 2 217
1 2 218
1 2 219
1 2 220
2 2 221
2 2 222
1 2 223
2 2 224
2 2 225
2 2 226
2 2 227
1 2 228
2 2 229
1 2 230
2 2 231
2 2 232
2 2 233
1 2 234
1 2 235
2 2 236
1 2 237
1 2 238
2 2 239
2 2 240
2 2 241
2 2 242
1 2 243
2 2 244
1 2 245
2 2 246
1 2 247
2 2 248
2 2 249
1 2 250
1 2 251
1 2 252
2 2 253
2 2 254
2 2 255
1 2 256
1 2 257
2 2 258
2 2 259
1 2 260
2 2 261
2 2 262
2 2 263
1 2 264
2 2 265
1 2 266
1 2 267
1 2 268
2 2 269
2 2 270
1 2 271
1 2 272
2 2 273
1 2 274
1 2 275
2 2 276
2 2 277
1 2 278
2 2 279
1 2 280
2 2 281
1 2 282
1 2 283
2 2 284
2 2 285
2 2 286
2 2 287
2 2 288
1 2 289
2 2 290
1 2 291
1 2 292
2 2 293
2 2 294
2 2 295
2 2 296
1 2 297
1 2 298
1 2 299
2 2 300
2 2 301
2 2 302
2 2 303
2 2 304
1 2 305
2 2 306
2 2 307
2 2 308
2 2 309
2 2 310
1 2 311
2 2 312
1 2 313
2 2 314
2 2 315
1 2 316
1 2 317
1 2 318
