230 26335
1 121 210
1 210 67
1 67 200
1 200 134
1 134 41
1 41 195
1 195 91
1 91 230
1 230 168
1 168 219
1 219 42
1 42 66
1 66 80
1 80 201
1 201 81
1 81 156
1 156 194
1 194 119
1 119 109
1 109 55
1 55 36
1 36 176
1 176 123
1 123 142
1 142 177
1 177 162
1 162 218
1 218 106
1 106 180
1 180 103
1 103 181
1 181 192
1 192 12
1 12 87
1 87 38
1 38 5
1 5 29
1 29 163
1 163 170
1 170 113
1 113 206
1 206 9
1 9 153
1 153 138
1 138 225
1 225 62
1 62 204
1 204 99
1 99 30
1 30 223
1 223 11
1 11 24
1 24 158
1 158 128
1 128 104
1 104 89
1 89 215
1 215 187
1 187 196
1 196 165
1 165 125
1 125 105
1 105 190
1 190 173
1 173 74
1 74 154
1 154 172
1 172 63
1 63 164
1 164 34
1 34 39
1 39 202
1 202 40
1 40 118
1 118 84
1 84 22
1 22 52
1 52 59
1 59 54
1 54 44
1 44 102
1 102 160
1 160 132
1 132 4
1 4 100
1 100 25
1 25 17
1 17 130
1 130 64
1 64 95
1 95 94
1 94 178
1 178 97
1 97 186
1 186 141
1 141 145
1 145 211
1 211 19
1 19 96
1 96 69
1 69 199
1 199 71
1 71 161
1 161 73
1 73 31
1 31 135
1 135 68
1 68 137
1 137 144
1 144 139
1 139 92
1 92 93
1 93 157
1 157 174
1 174 198
1 198 148
1 148 101
1 101 28
1 28 79
1 79 179
1 179 56
1 56 116
1 116 43
1 43 216
1 216 70
1 70 143
1 143 26
1 26 77
1 77 149
1 149 117
1 117 57
1 57 183
1 183 167
1 167 212
1 212 112
1 112 188
1 188 150
1 150 46
1 46 152
1 152 21
1 21 2
1 2 48
1 48 32
1 32 127
1 127 191
1 191 224
1 224 208
1 208 228
1 228 140
1 140 222
1 222 82
1 82 122
1 122 18
1 18 85
1 85 90
1 90 182
1 182 184
1 184 213
1 213 3
1 3 58
1 58 45
1 45 114
1 114 1
1 1 110
1 110 159
1 159 147
1 147 166
1 166 171
1 171 203
1 203 33
1 33 27
1 27 72
1 72 129
1 129 76
1 76 124
1 124 193
1 193 151
1 151 60
1 60 136
1 136 35
1 35 205
1 205 169
1 169 155
1 155 53
1 53 197
1 197 209
1 209 75
1 75 7
1 7 83
1 83 47
1 47 61
1 61 189
1 189 120
1 120 214
1 214 111
1 111 217
1 217 23
1 23 50
1 50 88
1 88 126
1 126 20
1 20 146
1 146 115
1 115 14
1 14 220
1 220 49
1 49 133
1 133 229
1 229 207
1 207 16
1 16 107
1 107 98
1 98 227
1 227 86
1 86 221
1 221 131
1 131 15
1 15 51
